Accession	Description	Plasmid	Length	Organism	Species	Genus	Family	Order	Class	Phylum	Domain	Collection_date	Geo_location	Isolation_source	Note
NZ_LR890187.1	"Klebsiella pneumoniae isolate INF072-sc-2279995 plasmid 3, complete sequence"	plasmid 3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890188.1	"Klebsiella pneumoniae isolate INF072-sc-2279995 plasmid 4, complete sequence"	plasmid 4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890465.1	"Klebsiella pneumoniae isolate INF079-sc-2280008 plasmid 2, complete sequence"	plasmid 2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890727.1	"Klebsiella pneumoniae isolate INF102-sc-2279897 plasmid 2, complete sequence"	plasmid 2	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890728.1	"Klebsiella pneumoniae isolate INF102-sc-2279897 plasmid 3, complete sequence"	plasmid 3	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890729.1	"Klebsiella pneumoniae isolate INF102-sc-2279897 plasmid 4, complete sequence"	plasmid 4	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890730.1	"Klebsiella pneumoniae isolate INF102-sc-2279897 plasmid 5, complete sequence"	plasmid 5	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890731.1	"Klebsiella pneumoniae isolate INF102-sc-2279897 plasmid 6, complete sequence"	plasmid 6	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890732.1	"Klebsiella pneumoniae isolate INF102-sc-2279897 plasmid 7, complete sequence"	plasmid 7	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
NZ_LR890733.1	"Klebsiella pneumoniae isolate INF102-sc-2279897 plasmid 8, complete sequence"	plasmid 8	NA	Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	2014	Australia	Hospital	NA
